time_req_entrance,time_req_pharmacy,time_req_registration,time_req_waiting_area,size_entrance_x,size_entrance_y,size_pharmacy_x,size_pharmacy_y,size_registration_x,size_registration_y,size_waiting_area_x,size_waiting_area_y,creation_rate,infected_rate,transmission_rate,transmissions,agents,average_transmissions
10,15,20,60,20,10,8,8,5,5,10,10,0.1,0.1,0.1,7.11,100.3,0.07007955414531858
10,15,20,60,20,10,8,10,5,5,10,10,0.1,0.1,0.1,6.15,99.76,0.060653204106441906
10,15,20,60,20,10,8,12,5,5,10,10,0.1,0.1,0.1,6.19,100.43,0.060988309886912256
10,15,20,60,20,10,8,14,5,5,10,10,0.1,0.1,0.1,6.11,98.6,0.0612103013275743
10,15,20,60,20,10,8,16,5,5,10,10,0.1,0.1,0.1,6.24,99.73,0.06133337031728014
10,15,20,60,20,10,8,18,5,5,10,10,0.1,0.1,0.1,5.91,101.14,0.05750869806285972
10,15,20,60,20,10,8,20,5,5,10,10,0.1,0.1,0.1,5.48,99.18,0.0541862642137003
10,15,20,60,20,10,8,22,5,5,10,10,0.1,0.1,0.1,6.42,99.79,0.06348243042560836
10,15,20,60,20,10,8,24,5,5,10,10,0.1,0.1,0.1,6.38,101.37,0.06252154990867446
10,15,20,60,20,10,10,8,5,5,10,10,0.1,0.1,0.1,6.58,99.43,0.06522716322007092
10,15,20,60,20,10,10,10,5,5,10,10,0.1,0.1,0.1,5.96,99.18,0.05962158776882237
10,15,20,60,20,10,10,12,5,5,10,10,0.1,0.1,0.1,6.46,100.14,0.06389280568686202
10,15,20,60,20,10,10,14,5,5,10,10,0.1,0.1,0.1,6.64,100.65,0.06492446295977375
10,15,20,60,20,10,10,16,5,5,10,10,0.1,0.1,0.1,6.15,99.21,0.06157421012558162
10,15,20,60,20,10,10,18,5,5,10,10,0.1,0.1,0.1,5.16,99.32,0.05113191731869507
10,15,20,60,20,10,10,20,5,5,10,10,0.1,0.1,0.1,6.47,100.26,0.0644233884095922
10,15,20,60,20,10,10,22,5,5,10,10,0.1,0.1,0.1,5.89,99.76,0.05814079081515188
10,15,20,60,20,10,10,24,5,5,10,10,0.1,0.1,0.1,6.42,98.7,0.06472702932560577
10,15,20,60,20,10,12,8,5,5,10,10,0.1,0.1,0.1,6.29,99.61,0.06246498596135013
10,15,20,60,20,10,12,10,5,5,10,10,0.1,0.1,0.1,5.56,98.54,0.05593838834469201
10,15,20,60,20,10,12,12,5,5,10,10,0.1,0.1,0.1,5.85,99.38,0.05826962293106122
10,15,20,60,20,10,12,14,5,5,10,10,0.1,0.1,0.1,5.91,101.17,0.05821912222104184
10,15,20,60,20,10,12,16,5,5,10,10,0.1,0.1,0.1,5.81,100.07,0.0575450896638333
10,15,20,60,20,10,12,18,5,5,10,10,0.1,0.1,0.1,6.23,99.21,0.06272320987898328
10,15,20,60,20,10,12,20,5,5,10,10,0.1,0.1,0.1,5.88,101.53,0.05747924025360935
10,15,20,60,20,10,12,22,5,5,10,10,0.1,0.1,0.1,6.17,98.1,0.062416216587391694
10,15,20,60,20,10,12,24,5,5,10,10,0.1,0.1,0.1,6.42,100.42,0.06321571423461958
10,15,20,60,20,10,14,8,5,5,10,10,0.1,0.1,0.1,5.97,98.84,0.059845682709679326
10,15,20,60,20,10,14,10,5,5,10,10,0.1,0.1,0.1,6.16,99.41,0.061475801563480134
10,15,20,60,20,10,14,12,5,5,10,10,0.1,0.1,0.1,6.13,99.23,0.06046697072543224
10,15,20,60,20,10,14,14,5,5,10,10,0.1,0.1,0.1,5.69,99.2,0.0566230898498285
10,15,20,60,20,10,14,16,5,5,10,10,0.1,0.1,0.1,5.51,99.1,0.05493954406085015
10,15,20,60,20,10,14,18,5,5,10,10,0.1,0.1,0.1,5.9,99.09,0.05904976165283886
10,15,20,60,20,10,14,20,5,5,10,10,0.1,0.1,0.1,6.14,100.12,0.06031155565677257
10,15,20,60,20,10,14,22,5,5,10,10,0.1,0.1,0.1,6.62,99.85,0.06545010141923237
10,15,20,60,20,10,14,24,5,5,10,10,0.1,0.1,0.1,5.36,101.11,0.05320214137206355
10,15,20,60,20,10,16,8,5,5,10,10,0.1,0.1,0.1,6.46,101.04,0.06289862257676945
10,15,20,60,20,10,16,10,5,5,10,10,0.1,0.1,0.1,5.32,101.05,0.05250846634070117
10,15,20,60,20,10,16,12,5,5,10,10,0.1,0.1,0.1,5.99,99.4,0.058946486118089794
10,15,20,60,20,10,16,14,5,5,10,10,0.1,0.1,0.1,6.17,100.56,0.06090562844961827
10,15,20,60,20,10,16,16,5,5,10,10,0.1,0.1,0.1,6.31,100.74,0.062130275510191686
10,15,20,60,20,10,16,18,5,5,10,10,0.1,0.1,0.1,5.8,100.68,0.05675266503240046
10,15,20,60,20,10,16,20,5,5,10,10,0.1,0.1,0.1,5.78,99.6,0.05746209180930203
10,15,20,60,20,10,16,22,5,5,10,10,0.1,0.1,0.1,5.88,100.02,0.05825009490882926
10,15,20,60,20,10,16,24,5,5,10,10,0.1,0.1,0.1,5.93,98.49,0.060061468978235
10,15,20,60,20,10,18,8,5,5,10,10,0.1,0.1,0.1,6.2,99.85,0.06172267562701408
10,15,20,60,20,10,18,10,5,5,10,10,0.1,0.1,0.1,5.7,98.28,0.05809409021595177
10,15,20,60,20,10,18,12,5,5,10,10,0.1,0.1,0.1,6.2,100.98,0.06076416924061683
10,15,20,60,20,10,18,14,5,5,10,10,0.1,0.1,0.1,6.22,100.24,0.061127247138957355
