time_req_entrance,time_req_pharmacy,time_req_registration,time_req_waiting_area,size_entrance_x,size_entrance_y,size_pharmacy_x,size_pharmacy_y,size_registration_x,size_registration_y,size_waiting_area_x,size_waiting_area_y,creation_rate,infected_rate,transmission_rate,transmissions,agents,average_transmissions
10,15,20,60,20,10,8,8,5,5,10,10,0.1,0.1,0.1,6.15,100.78,0.05999131320295681
10,15,20,60,20,10,8,8,5,5,11,10,0.1,0.1,0.1,5.28,98.94,0.05322796913909356
10,15,20,60,20,10,8,8,5,5,12,10,0.1,0.1,0.1,6.25,100.49,0.06088062777869783
10,15,20,60,20,10,8,8,5,5,13,10,0.1,0.1,0.1,6.25,99.52,0.06229326993307446
10,15,20,60,20,10,8,8,5,5,14,10,0.1,0.1,0.1,6.36,99.34,0.06302454409804362
10,15,20,60,20,10,8,8,5,5,15,10,0.1,0.1,0.1,5.72,99.01,0.05674143408008254
10,15,20,60,20,10,8,8,5,5,16,10,0.1,0.1,0.1,5.84,100.53,0.05776172168739367
10,15,20,60,20,10,8,8,5,5,17,10,0.1,0.1,0.1,6.29,102.54,0.06019914251611341
10,15,20,60,20,10,8,8,5,5,18,10,0.1,0.1,0.1,6.54,101.58,0.06375682988923127
10,15,20,60,20,10,8,8,5,5,19,10,0.1,0.1,0.1,5.91,100.09,0.058126214060464074
10,15,20,60,20,10,8,8,5,5,20,10,0.1,0.1,0.1,6.31,102.11,0.06073727943921293
10,15,20,60,20,10,8,8,5,5,21,10,0.1,0.1,0.1,6.23,100.08,0.06100510028205526
10,15,20,60,20,10,8,8,5,5,22,10,0.1,0.1,0.1,6.49,100.48,0.06405700564775756
10,15,20,60,20,10,8,8,5,5,23,10,0.1,0.1,0.1,6.02,100.62,0.05935000956999981
10,15,20,60,20,10,8,8,5,5,24,10,0.1,0.1,0.1,6.1,100.39,0.05971226997627479
10,15,20,60,20,10,8,8,5,5,25,10,0.1,0.1,0.1,5.88,98.58,0.059366984889274804
10,15,20,60,20,10,8,8,5,5,26,10,0.1,0.1,0.1,6.55,98.31,0.06576642715630983
10,15,20,60,20,10,8,8,5,5,27,10,0.1,0.1,0.1,6.4,101.03,0.062393235528434364
10,15,20,60,20,10,8,8,5,5,28,10,0.1,0.1,0.1,6.13,99.2,0.06141812006219171
10,15,20,60,20,10,8,8,5,5,29,10,0.1,0.1,0.1,5.61,100.43,0.05552212885913792
10,15,20,60,20,10,8,8,5,5,30,10,0.1,0.1,0.1,5.31,99.64,0.05295598397566426
10,15,20,60,20,10,8,8,5,5,31,10,0.1,0.1,0.1,6.9,101.14,0.06757632721850643
10,15,20,60,20,10,8,8,5,5,32,10,0.1,0.1,0.1,6.42,99.6,0.0639338965411409
10,15,20,60,20,10,8,8,5,5,33,10,0.1,0.1,0.1,6.23,99.47,0.061595038096825865
10,15,20,60,20,10,8,8,5,5,34,10,0.1,0.1,0.1,6.47,101.03,0.06263707222803698
10,15,20,60,20,10,8,8,5,5,35,10,0.1,0.1,0.1,6.4,101.41,0.06232006604263506
10,15,20,60,20,10,8,8,5,5,36,10,0.1,0.1,0.1,6.04,99.78,0.060442888187602885
10,15,20,60,20,10,8,8,5,5,37,10,0.1,0.1,0.1,5.88,98.81,0.05875295483291255
10,15,20,60,20,10,8,8,5,5,38,10,0.1,0.1,0.1,6.01,100.57,0.05934465034591386
10,15,20,60,20,10,8,8,5,5,39,10,0.1,0.1,0.1,5.82,99.01,0.05770883592890835
10,15,20,60,20,10,8,8,5,5,40,10,0.1,0.1,0.1,5.8,99.74,0.05725262471629693
10,15,20,60,20,10,8,8,5,5,41,10,0.1,0.1,0.1,6.21,100.53,0.06076731454643732
10,15,20,60,20,10,8,8,5,5,42,10,0.1,0.1,0.1,5.48,99.08,0.05450037593417731
10,15,20,60,20,10,8,8,5,5,43,10,0.1,0.1,0.1,5.86,99.89,0.05771195182748141
10,15,20,60,20,10,8,8,5,5,44,10,0.1,0.1,0.1,5.77,99.01,0.05781312024031518
10,15,20,60,20,10,8,8,5,5,45,10,0.1,0.1,0.1,6.64,101.47,0.06502927486133354
10,15,20,60,20,10,8,8,5,5,46,10,0.1,0.1,0.1,6.9,99.11,0.06905888935819715
10,15,20,60,20,10,8,8,5,5,47,10,0.1,0.1,0.1,5.68,101.24,0.05530497759601255
10,15,20,60,20,10,8,8,5,5,48,10,0.1,0.1,0.1,6.22,100.1,0.0620448021501605
10,15,20,60,20,10,8,8,5,5,49,10,0.1,0.1,0.1,6.54,102.67,0.06294616408439666
10,15,20,60,20,10,8,8,5,5,50,10,0.1,0.1,0.1,6.31,99.74,0.06249712864504725
10,15,20,60,20,10,8,8,5,5,51,10,0.1,0.1,0.1,6.03,98.85,0.06068726947156106
10,15,20,60,20,10,8,8,5,5,52,10,0.1,0.1,0.1,6.03,99.84,0.060071230838321714
10,15,20,60,20,10,8,8,5,5,53,10,0.1,0.1,0.1,6.17,98.19,0.062480403717829376
10,15,20,60,20,10,8,8,5,5,54,10,0.1,0.1,0.1,5.74,99.35,0.05702594271355717
10,15,20,60,20,10,8,8,5,5,55,10,0.1,0.1,0.1,6.66,100.04,0.06561432207461725
10,15,20,60,20,10,8,8,5,5,56,10,0.1,0.1,0.1,5.82,101.0,0.05721821268500613
10,15,20,60,20,10,8,8,5,5,57,10,0.1,0.1,0.1,5.51,102.21,0.053058660189622235
10,15,20,60,20,10,8,8,5,5,58,10,0.1,0.1,0.1,6.47,99.07,0.0652851559100245
10,15,20,60,20,10,8,8,5,5,59,10,0.1,0.1,0.1,5.53,99.09,0.05488419146324915
