time_req_entrance,time_req_pharmacy,time_req_registration,time_req_waiting_area,size_entrance_x,size_entrance_y,size_pharmacy_x,size_pharmacy_y,size_registration_x,size_registration_y,size_waiting_area_x,size_waiting_area_y,creation_rate,infected_rate,transmission_rate,transmissions,agents,average_transmissions
10,15,20,60,20,10,8,8,5,5,10,10,0.1,0.1,0.1,6.2,98.27,0.06258234116579751
10,16,20,60,20,10,8,8,5,5,10,10,0.1,0.1,0.1,6.66,100.39,0.06513452828351761
10,17,20,60,20,10,8,8,5,5,10,10,0.1,0.1,0.1,6.54,100.34,0.06455387479585852
10,18,20,60,20,10,8,8,5,5,10,10,0.1,0.1,0.1,6.71,100.75,0.06581979887712514
10,19,20,60,20,10,8,8,5,5,10,10,0.1,0.1,0.1,5.89,101.32,0.05712550785686918
10,20,20,60,20,10,8,8,5,5,10,10,0.1,0.1,0.1,6.31,100.05,0.062168810092039506
10,21,20,60,20,10,8,8,5,5,10,10,0.1,0.1,0.1,7.54,101.91,0.07381851283475101
10,22,20,60,20,10,8,8,5,5,10,10,0.1,0.1,0.1,7.45,100.85,0.0725611061544282
10,23,20,60,20,10,8,8,5,5,10,10,0.1,0.1,0.1,6.84,98.57,0.06899243661113603
10,24,20,60,20,10,8,8,5,5,10,10,0.1,0.1,0.1,7.24,99.96,0.07168726105557557
10,25,20,60,20,10,8,8,5,5,10,10,0.1,0.1,0.1,7.15,100.74,0.0696605156509801
10,26,20,60,20,10,8,8,5,5,10,10,0.1,0.1,0.1,7.08,100.62,0.0697593786439734
10,27,20,60,20,10,8,8,5,5,10,10,0.1,0.1,0.1,6.73,100.21,0.06636855132976621
10,28,20,60,20,10,8,8,5,5,10,10,0.1,0.1,0.1,8.11,101.18,0.07961934638685124
10,29,20,60,20,10,8,8,5,5,10,10,0.1,0.1,0.1,7.11,99.88,0.07037334078419934
10,30,20,60,20,10,8,8,5,5,10,10,0.1,0.1,0.1,7.0,98.94,0.07025891983401204
10,31,20,60,20,10,8,8,5,5,10,10,0.1,0.1,0.1,6.35,98.89,0.06352822421461356
10,32,20,60,20,10,8,8,5,5,10,10,0.1,0.1,0.1,6.53,99.65,0.0655468232868771
10,33,20,60,20,10,8,8,5,5,10,10,0.1,0.1,0.1,7.39,100.13,0.07325884395477233
10,34,20,60,20,10,8,8,5,5,10,10,0.1,0.1,0.1,7.38,100.23,0.07259245325493721
10,35,20,60,20,10,8,8,5,5,10,10,0.1,0.1,0.1,7.74,100.45,0.0752271894739781
10,36,20,60,20,10,8,8,5,5,10,10,0.1,0.1,0.1,7.56,99.14,0.07482628016613443
10,37,20,60,20,10,8,8,5,5,10,10,0.1,0.1,0.1,7.46,99.63,0.07397714394842991
10,38,20,60,20,10,8,8,5,5,10,10,0.1,0.1,0.1,8.28,99.19,0.0826338447462166
10,39,20,60,20,10,8,8,5,5,10,10,0.1,0.1,0.1,7.76,100.13,0.07613060949945034
10,40,20,60,20,10,8,8,5,5,10,10,0.1,0.1,0.1,7.84,100.01,0.07750211935816982
10,41,20,60,20,10,8,8,5,5,10,10,0.1,0.1,0.1,7.59,99.03,0.07613973933278383
10,42,20,60,20,10,8,8,5,5,10,10,0.1,0.1,0.1,8.28,99.46,0.08213113077966212
10,43,20,60,20,10,8,8,5,5,10,10,0.1,0.1,0.1,8.45,101.96,0.08212098755269326
10,44,20,60,20,10,8,8,5,5,10,10,0.1,0.1,0.1,8.17,99.68,0.08088495210496303
10,45,20,60,20,10,8,8,5,5,10,10,0.1,0.1,0.1,8.09,100.15,0.0798833178915725
10,46,20,60,20,10,8,8,5,5,10,10,0.1,0.1,0.1,8.79,99.57,0.08693864657490931
10,47,20,60,20,10,8,8,5,5,10,10,0.1,0.1,0.1,8.45,98.53,0.08470995840407873
10,48,20,60,20,10,8,8,5,5,10,10,0.1,0.1,0.1,8.52,100.21,0.08362669568992458
10,49,20,60,20,10,8,8,5,5,10,10,0.1,0.1,0.1,8.36,98.76,0.08375176356387753
10,50,20,60,20,10,8,8,5,5,10,10,0.1,0.1,0.1,9.05,99.43,0.09018165695027487
10,51,20,60,20,10,8,8,5,5,10,10,0.1,0.1,0.1,8.94,100.16,0.0872421800413303
10,52,20,60,20,10,8,8,5,5,10,10,0.1,0.1,0.1,8.56,99.96,0.08502366634688632
10,53,20,60,20,10,8,8,5,5,10,10,0.1,0.1,0.1,8.85,99.3,0.08726561580887257
10,54,20,60,20,10,8,8,5,5,10,10,0.1,0.1,0.1,9.66,100.38,0.09521062469497776
10,55,20,60,20,10,8,8,5,5,10,10,0.1,0.1,0.1,9.3,99.43,0.09219597062073173
10,56,20,60,20,10,8,8,5,5,10,10,0.1,0.1,0.1,9.38,101.12,0.09189106355003532
10,57,20,60,20,10,8,8,5,5,10,10,0.1,0.1,0.1,9.78,101.27,0.09570808586684018
