time_req_entrance,time_req_pharmacy,time_req_registration,time_req_waiting_area,size_entrance_x,size_entrance_y,size_pharmacy_x,size_pharmacy_y,size_registration_x,size_registration_y,size_waiting_area_x,size_waiting_area_y,creation_rate,infected_rate,transmission_rate,transmissions,agents,average_transmissions
10,15,20,0,20,10,8,8,5,5,10,10,0.1,0.1,0.1,6.15,100.81,0.06030699970847788
10,15,20,1,20,10,8,8,5,5,10,10,0.1,0.1,0.1,6.15,101.25,0.059620238995691785
10,15,20,2,20,10,8,8,5,5,10,10,0.1,0.1,0.1,5.91,98.78,0.05940267146194265
10,15,20,3,20,10,8,8,5,5,10,10,0.1,0.1,0.1,5.88,100.46,0.057770857652838174
10,15,20,4,20,10,8,8,5,5,10,10,0.1,0.1,0.1,5.09,98.56,0.05105691524426715
10,15,20,5,20,10,8,8,5,5,10,10,0.1,0.1,0.1,5.37,97.94,0.054694639309816176
10,15,20,6,20,10,8,8,5,5,10,10,0.1,0.1,0.1,5.39,99.45,0.0532797558023274
10,15,20,7,20,10,8,8,5,5,10,10,0.1,0.1,0.1,5.37,100.08,0.053771931404286565
10,15,20,8,20,10,8,8,5,5,10,10,0.1,0.1,0.1,5.35,100.58,0.05305327619103234
10,15,20,9,20,10,8,8,5,5,10,10,0.1,0.1,0.1,5.47,97.66,0.055629037838061314
10,15,20,10,20,10,8,8,5,5,10,10,0.1,0.1,0.1,6.31,100.82,0.06175556413189491
10,15,20,11,20,10,8,8,5,5,10,10,0.1,0.1,0.1,5.33,99.05,0.05301876724458727
10,15,20,12,20,10,8,8,5,5,10,10,0.1,0.1,0.1,5.53,99.94,0.05454820952160778
10,15,20,13,20,10,8,8,5,5,10,10,0.1,0.1,0.1,6.42,100.11,0.0633703678585955
10,15,20,14,20,10,8,8,5,5,10,10,0.1,0.1,0.1,5.86,99.47,0.058403677016277696
10,15,20,15,20,10,8,8,5,5,10,10,0.1,0.1,0.1,6.29,101.1,0.06160024574920018
10,15,20,16,20,10,8,8,5,5,10,10,0.1,0.1,0.1,5.75,98.73,0.057262315226019087
10,15,20,17,20,10,8,8,5,5,10,10,0.1,0.1,0.1,6.23,101.91,0.059931252808460414
10,15,20,18,20,10,8,8,5,5,10,10,0.1,0.1,0.1,5.88,98.68,0.05879030685371383
10,15,20,19,20,10,8,8,5,5,10,10,0.1,0.1,0.1,5.11,101.15,0.050018765611385296
10,15,20,20,20,10,8,8,5,5,10,10,0.1,0.1,0.1,6.87,101.89,0.06619752123038708
10,15,20,21,20,10,8,8,5,5,10,10,0.1,0.1,0.1,5.75,99.36,0.05741008541484956
10,15,20,22,20,10,8,8,5,5,10,10,0.1,0.1,0.1,6.18,100.26,0.06117637956593613
10,15,20,23,20,10,8,8,5,5,10,10,0.1,0.1,0.1,5.61,100.29,0.055300423187274676
10,15,20,24,20,10,8,8,5,5,10,10,0.1,0.1,0.1,5.7,100.27,0.05653005235393512
10,15,20,25,20,10,8,8,5,5,10,10,0.1,0.1,0.1,6.68,101.22,0.06497151720799432
10,15,20,26,20,10,8,8,5,5,10,10,0.1,0.1,0.1,5.29,99.1,0.05254598953393809
10,15,20,27,20,10,8,8,5,5,10,10,0.1,0.1,0.1,6.02,99.23,0.0603387227359371
10,15,20,28,20,10,8,8,5,5,10,10,0.1,0.1,0.1,6.1,99.39,0.0609130349112836
10,15,20,29,20,10,8,8,5,5,10,10,0.1,0.1,0.1,6.25,98.94,0.06241705969425494
10,15,20,30,20,10,8,8,5,5,10,10,0.1,0.1,0.1,5.88,100.11,0.0576224801577803
10,15,20,31,20,10,8,8,5,5,10,10,0.1,0.1,0.1,5.81,101.02,0.056504865835934066
10,15,20,32,20,10,8,8,5,5,10,10,0.1,0.1,0.1,5.86,99.71,0.057742807662851725
10,15,20,33,20,10,8,8,5,5,10,10,0.1,0.1,0.1,5.56,99.54,0.05475121594647711
10,15,20,34,20,10,8,8,5,5,10,10,0.1,0.1,0.1,5.91,99.32,0.05863033059272126
10,15,20,35,20,10,8,8,5,5,10,10,0.1,0.1,0.1,5.8,101.01,0.05675001641906756
10,15,20,36,20,10,8,8,5,5,10,10,0.1,0.1,0.1,6.26,99.97,0.06175146200339111
10,15,20,37,20,10,8,8,5,5,10,10,0.1,0.1,0.1,5.66,100.15,0.05582232459599422
10,15,20,38,20,10,8,8,5,5,10,10,0.1,0.1,0.1,5.76,99.85,0.05711616006337577
10,15,20,39,20,10,8,8,5,5,10,10,0.1,0.1,0.1,5.67,100.5,0.0562008447239474
10,15,20,40,20,10,8,8,5,5,10,10,0.1,0.1,0.1,5.97,100.66,0.058950312995348864
